iter	Passed	Remaining
0	32	163044
1	57	142951
2	88	146855
3	126	157631
4	142	141962
5	159	132499
6	170	121846
7	189	118197
8	209	116423
9	221	110564
10	232	105489
11	241	100352
12	251	96512
13	261	93214
14	271	90289
15	280	87385
16	289	84938
17	295	81692
18	301	78912
19	306	76285
20	311	73931
21	317	71882
22	323	69915
23	328	68126
24	334	66531
25	336	64343
26	341	62937
27	351	62331
28	359	61591
29	368	61122
30	374	60014
31	383	59521
32	392	59005
33	394	57602
34	396	56227
35	398	54968
36	408	54789
37	412	53820
38	418	53260
39	428	53192
40	438	53082
41	449	53033
42	458	52839
43	467	52674
44	478	52716
45	487	52491
46	496	52342
47	505	52141
48	511	51658
49	516	51144
50	521	50650
51	531	50566
52	536	50102
53	545	49997
54	554	49861
55	560	49482
56	566	49099
57	572	48748
58	577	48371
59	583	48028
60	594	48122
61	598	47668
62	604	47378
63	610	47111
64	620	47111
65	626	46828
66	632	46598
67	644	46768
68	656	46945
69	666	46907
70	677	47063
71	689	47166
72	698	47139
73	706	47021
74	713	46862
75	721	46747
76	735	47014
77	742	46879
78	753	46933
79	766	47112
80	777	47209
81	788	47297
82	799	47380
83	812	47560
84	824	47662
85	832	47572
86	839	47398
87	841	46981
88	847	46744
89	849	46323
90	855	46155
91	857	45748
92	863	45541
93	869	45358
94	874	45169
95	880	45000
96	886	44809
97	895	44817
98	905	44818
99	911	44645
100	920	44650
101	929	44650
102	935	44480
103	938	44170
104	942	43939
105	949	43858
106	961	43989
107	969	43896
108	978	43907
109	986	43848
110	992	43718
111	998	43595
112	1004	43450
113	1013	43437
114	1019	43311
115	1025	43178
116	1032	43093
117	1038	42951
118	1047	42967
119	1056	42982
120	1066	43020
121	1077	43099
122	1079	42820
123	1082	42566
124	1087	42429
125	1097	42464
126	1099	42201
127	1109	42234
128	1120	42322
129	1128	42259
130	1137	42260
131	1144	42213
132	1155	42301
133	1165	42308
134	1175	42354
135	1178	42156
136	1181	41936
137	1189	41896
138	1196	41833
139	1204	41830
